type
RIG
STACK
BLDG
TOWER
POLE
ELEC SYS
T-L TWR
TANK
BRIDGE
SIGN
REFINERY
FENCE
PLANT
GEN UTIL
ELEVATOR
ANTENNA
NAVAID
CTRL TWR
UTILITY POLE
SILO
CRANE
BLDG-TWR
VERTICAL STRUCTURE
AG EQUIP
CATENARY
WINDSOCK
DOME
SOLAR PANELS
MET
AMUSEMENT PARK
MONUMENT
STADIUM
COOL TWR
DAM
